probe;nuc;act;frac;Passage;null;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p08;0,4597;0,314;1,6814;8;1;2093,819;126,21;117,23;127,145;116,603;289,972;121,418;21,957;33,745;0,313;5,53;0,181;0,791;Young
p08;0,5748;0,0174;1,8597;8;1;3411,131;50,906;131,491;48,424;134,188;264,819;112;38,779;31,561;0,611;2,888;0,346;0,896;Young
p08;0,4728;0,1213;1,954;8;1;3358,149;27,26;33,683;26,043;33,247;221,27;78,022;54,802;74,548;0,862;1,424;0,702;0,979;Young
p08;0,57;0,4185;1,7488;8;1;8296,38;82,731;98,066;85,508;101,965;472,458;120,031;88,004;149,005;0,467;1,364;0,733;0,698;Young
p08;0,6203;0,4552;1,8439;8;1;3544,569;153,122;196,694;151,219;200,059;254,362;104,968;42,995;55,939;0,688;2,441;0,41;0,963;Young
p08;0,2289;0,3024;1,8789;8;1;6638,562;63,458;67,018;53,945;73,665;353,522;155,586;54,327;42,473;0,667;2,864;0,349;0,972;Young
p08;0,2457;0,4105;1,9116;8;1;979,178;59,035;46,13;59,764;46,465;140,244;42,591;29,272;97,825;0,626;1,455;0,687;0,839;Young
p08;0,2487;0,4531;1,8862;8;1;4077,972;136,35;46,638;132,571;46,261;338,306;97,535;53,234;118,862;0,448;1,832;0,546;0,746;Young
p08;0,2142;0,2964;1,8996;8;1;3159,815;182,817;157,166;182,713;159,496;244,745;91,372;44,031;43,984;0,663;2,075;0,482;0,868;Young
p08;0,5696;0,5139;1,7628;8;1;3761,238;171,313;114,888;170,753;117,351;323,048;109,844;43,598;91,497;0,453;2,519;0,397;0,821;Young
p08;0,2006;0,4448;1,8697;8;1;2122,854;189,161;147,597;195,808;150,199;256,536;119,633;22,593;162,695;0,405;5,295;0,189;0,837;Young
p08;0,1689;0,3683;1,8529;8;1;1501,303;57,427;96,569;59,387;96,212;187,015;74,864;25,533;160,684;0,539;2,932;0,341;0,922;Young
p08;0,5684;0,3746;1,7873;8;1;6563,716;159,384;101,776;155,949;103,599;422,279;171,155;48,828;154,893;0,463;3,505;0,285;0,8;Young
p08;0,5511;0,4244;1,8307;8;1;11030,433;81,142;119,522;80,872;116,422;451,683;176,093;79,755;139,984;0,679;2,208;0,453;0,929;Young
p08;0,5407;0,5022;1,8807;8;1;4248,543;118,066;116,839;110,536;116,056;314,009;109,894;49,224;158,591;0,541;2,233;0,448;0,784;Young
p08;0,4865;0,3977;1,9081;8;1;6881,202;157,27;50,256;147,479;48,893;515,341;191,98;45,637;170,505;0,326;4,207;0,238;0,744;Young
p08;0,5599;0,4331;1,7975;8;1;5427,849;149,561;137,681;146,685;137,8;535,616;203,734;33,922;10,303;0,238;6,006;0,166;0,718;Young
p08;0,1374;0,3955;1,892;8;1;3769,394;62,856;130,592;65,122;130,137;334,675;125,179;38,34;165,805;0,423;3,265;0,306;0,778;Young
p08;0,1324;0,4311;1,864;8;1;3609,292;90,174;76,31;90,388;82,727;385,97;159,984;28,725;106,261;0,304;5,57;0,18;0,684;Young
p08;0,2332;0,5692;1,894;8;1;3499,569;181,676;111,542;184,362;116,361;476,992;227,563;19,58;107,919;0,193;11,622;0,086;0,808;Young
p07;0,2575;0,3644;1,9127;7;1;1851,815;98,036;17,403;97,404;17,262;225,932;86,4;27,29;3,284;0,456;3,166;0,316;0,783;Young
p07;0,2525;0,4274;1,8966;7;1;4222,11;160,41;56,413;156,756;58,11;366,946;96,864;55,498;154,199;0,394;1,745;0,573;0,754;Young
p07;0,1783;0,2863;1,8282;7;1;5265,664;84,371;64,868;83,146;62,784;318,414;119,688;56,016;162,507;0,653;2,137;0,468;0,929;Young
p07;0,2506;0,4624;1,8843;7;1;3494,537;182,601;106,029;177,186;105,02;324,882;106,455;41,796;159,939;0,416;2,547;0,393;0,669;Young
p07;0,2406;0,3669;1,8986;7;1;2411,42;131,907;120,827;132,237;117,445;244,561;59,561;51,549;81,784;0,507;1,155;0,865;0,785;Young
p07;0,1471;0,1948;1,8703;7;1;5398,408;64,265;85,452;68,476;86,151;347,804;124,8;55,076;84,027;0,561;2,266;0,441;0,843;Young
p07;0,1852;0,3886;1,8393;7;1;4065,768;138,645;43,314;130,239;44,365;330,543;116,795;44,323;24,049;0,468;2,635;0,379;0,854;Young
p07;0,2569;0,0771;1,9009;7;1;2820,813;221,239;91,485;224,389;88,81;230,878;88,128;40,754;68,228;0,665;2,162;0,462;0,962;Young
p07;0,3012;0,2665;1,8791;7;1;3689,227;128,005;83,502;128,078;84,888;329,311;137,685;34,116;78,636;0,427;4,036;0,248;0,894;Young
p07;0,2174;0,3189;1,8714;7;1;7290,306;124,153;164,287;122,804;166,224;518,964;207,67;44,697;50,345;0,34;4,646;0,215;0,881;Young
p07;0,2194;0,4329;1,8673;7;1;4894,677;57,769;81,151;58,412;84,414;364,613;109,33;57,003;50,165;0,463;1,918;0,521;0,781;Young
p07;0,327;0,5024;1,9624;7;1;2110,419;67,927;63,463;73,324;71,524;310,65;105,849;25,386;124,066;0,275;4,17;0,24;0,515;Young
p07;0,2702;0,2402;1,9072;7;1;3499,048;103,919;197,075;107,229;192,211;343,188;94,025;47,382;66,169;0,373;1,984;0,504;0,607;Young
p07;0,2412;0,3462;1,8396;7;1;2027,418;118,823;36,706;120,161;37,591;249,324;92,015;28,054;90,106;0,41;3,28;0,305;0,855;Young
p07;0,1871;0,2489;1,7746;7;1;3410,321;208,095;96,823;208,189;94,155;254,523;93,53;46,425;111,237;0,662;2,015;0,496;0,875;Young
p07;0,2397;0,1293;1,679;7;1;3552,146;171,671;103,292;170,814;99,78;326,054;127,464;35,482;106,803;0,42;3,592;0,278;0,764;Young
p07;0,2751;0,2903;1,6485;7;1;3648,623;173,539;109,467;172,241;106,261;325,824;143,986;32,264;113,257;0,432;4,463;0,224;0,858;Young
p07;0,1869;0,0894;1,5992;7;1;2708,487;67,44;132,572;65,889;132,088;289,047;118,464;29,111;93,945;0,407;4,069;0,246;0,893;Young
p07;0,1876;0,2971;1,7904;7;1;2544,568;119,083;69,652;119,879;66,973;224,067;83,059;39,007;64,635;0,637;2,129;0,47;0,9;Young
p07;0,2096;0,3194;1,8709;7;1;4987,626;185,346;185,854;187,55;180,236;319,91;109,377;58,06;84,616;0,612;1,884;0,531;0,845;Young
p13;-0,2012;0,1512;1,7489;13;1;1667,073;16,787;102,648;16,611;102,495;207,296;51,059;41,571;98,637;0,488;1,228;0,814;0,839;Middle
p13;-0,281;0,0527;1,9001;13;1;2116,261;82,195;32,699;82,046;31,857;208,085;78,107;34,498;69,356;0,614;2,264;0,442;0,909;Middle
p13;-0,0479;0,2455;1,8513;13;1;992,192;61,837;120,683;59,348;116,045;164,669;50,197;25,167;126,842;0,46;1,995;0,501;0,796;Middle
p13;-0,091;0,3894;1,9263;13;1;4689,575;108,326;196,466;109,691;202,876;426,988;80,907;73,8;78,053;0,323;1,096;0,912;0,617;Middle
p13;-0,108;0,3554;1,8755;13;1;1502,864;142,677;94,771;143,724;93,803;229,162;50,768;37,691;124,874;0,36;1,347;0,742;0,646;Middle
p13;-0,0414;0,0433;1,8309;13;1;1887,734;189,548;116,71;189,624;118,478;218,813;72,515;33,145;8,96;0,495;2,188;0,457;0,83;Middle
p13;0,3045;0,2887;1,6388;13;1;1209,209;30,317;138,338;30,872;136,201;190,871;73,496;20,948;42,832;0,417;3,508;0,285;0,847;Middle
p13;-0,2324;0,3397;1,6916;13;1;1927,759;137,227;123,193;141,294;122,066;263,62;72,872;33,682;28,796;0,349;2,164;0,462;0,757;Middle
p13;-0,1379;0,2793;1,6622;13;1;3116,146;159,124;49,821;161,575;52,924;328,643;105,128;37,741;99,557;0,363;2,786;0,359;0,641;Middle
p13;0,1961;0,3922;1,5501;13;1;3090,927;211,818;89,024;214,176;91,447;372,076;87,276;45,093;91,051;0,281;1,935;0,517;0,582;Middle
p13;0,1596;0,2166;1,9255;13;1;2146,569;35,037;95,869;34,318;97,069;236,449;64,752;42,209;160,565;0,482;1,534;0,652;0,727;Middle
p13;-0,16;0,1913;1,8846;13;1;5127,195;110,123;40,274;116,249;44,169;437,656;125,21;52,137;155,653;0,336;2,402;0,416;0,696;Middle
p13;-0,0128;0,1696;1,8784;13;1;2202,327;89,163;89,77;88,292;90,678;196,212;62,273;45,029;88,676;0,719;1,383;0,723;0,923;Middle
p13;-0,0543;0,2334;1,8811;13;1;2862,921;82,161;142,328;82,364;141,972;345,362;94,753;38,47;161,752;0,302;2,463;0,406;0,561;Middle
p13;0,0129;0,4035;1,9135;13;1;2763,84;196,87;193,488;198,529;197,918;264,928;109,752;32,063;104,497;0,495;3,423;0,292;0,808;Middle
p13;-0,1365;0,2315;1,918;13;1;3810,981;62,503;39,885;61,108;41,418;306,665;114,562;42,355;29,778;0,509;2,705;0,37;0,882;Middle
p13;-0,2672;0,2334;1,8841;13;1;3362,314;112,045;64,141;114,757;63,869;315,523;98,412;43,501;84,373;0,424;2,262;0,442;0,748;Middle
