probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p08;0,2925;0,3299;1,5358;8;7967,731;114,59;90,271;124,475;91,883;465,017;143,511;70,69;2,482;0,463;2,03;0,493;0,813;Young
p08;0,3868;0,3523;1,8714;8;8481,122;116,248;154,603;136,338;146,084;550,956;229,957;46,959;21,69;0,351;4,897;0,204;0,837;Young
p08;0,3334;0,2085;1,8651;8;2017,759;192,877;148,558;195,919;145,274;219,008;69,215;37,118;36,865;0,529;1,865;0,536;0,794;Young
p08;0,3827;0,4015;1,7663;8;2433,11;57,284;197,178;58,402;198,295;292,737;116,061;26,692;127,958;0,357;4,348;0,23;0,849;Young
p08;0,3183;0,3903;1,4238;8;2734,978;59,691;80,231;58,173;76,988;372,058;151,052;23,054;98,147;0,248;6,552;0,153;0,794;Young
p08;0,4394;0,4935;1,7746;8;1082,134;107,619;38,968;104,83;38,183;194,792;81,63;16,879;127,754;0,358;4,836;0,207;0,907;Young
p08;0,4551;0,3005;1,6912;8;1110,418;157,596;95,181;153,676;92,048;246,11;111,751;12,652;133,594;0,23;8,833;0,113;0,82;Young
p08;0,3695;0,2787;1,8053;8;3092,836;189,531;138,434;189,237;138,153;325,372;135,806;28,997;141,401;0,367;4,683;0,214;0,915;Young
p08;0,4033;0,3884;1,7589;8;1573,834;209,287;41,247;209,949;42,719;241,997;112,579;17,8;131,037;0,338;6,325;0,158;0,876;Young
p08;0,4001;0,4336;1,91;8;8927,88;70,525;183,687;86,142;192,585;447,823;189,419;60,012;136,631;0,559;3,156;0,317;0,912;Young
p08;0,4687;0,2908;1,74;8;1118,169;143,075;144,532;149,621;139,972;223,69;98,276;14,487;35,432;0,281;6,784;0,147;0,849;Young
p08;0,4601;0,4477;1,5945;8;862,11;183,755;101,716;177,031;109,419;166,081;75,218;14,593;43,419;0,393;5,154;0,194;0,928;Young
p08;0,3238;0,314;1,6541;8;3793,051;215,538;108,019;220,249;102,344;293,663;106,594;45,307;70,399;0,553;2,353;0,425;0,868;Young
